"";"time";"Dist";"Var1";"Var2";"Var3"
"211701";92;0,0901763224600039;0,04;0,76;0,2
"323001";92;0,0901357011655476;0,02;0,67;0,31
"232101";92;0,0900876529803427;0,02;0,76;0,22
"221901";92;0,090084866091682;0,03;0,76;0,21
"343301";92;0,0899414367771527;0,01;0,66;0,33
"211601";92;0,0899353643982856;0,05;0,75;0,2
"272301";92;0,0899053679490742;0,04;0,7;0,26
"241901";92;0,0898812619788577;0,05;0,72;0,23
"363601";92;0,0897859774504245;0;0,65;0,35
"221701";92;0,0897092137119912;0,05;0,74;0,21
"231801";92;0,0896889098258913;0,05;0,73;0,22
"221801";92;0,0896137810807334;0,04;0,75;0,21
"292601";92;0,0895458889958294;0,03;0,69;0,28
"262201";92;0,0894094585900937;0,04;0,71;0,25
"232001";92;0,0893824918313615;0,03;0,75;0,22
"262601";92;0,0892594070368919;0;0,75;0,25
"231901";92;0,0892474707414643;0,04;0,74;0,22
"242201";92;0,0892444899958146;0,02;0,75;0,23
"312901";92;0,0892151782301722;0,02;0,68;0,3
"252401";92;0,0892026071686026;0,01;0,75;0,24
"252101";92;0,0891381893901501;0,04;0,72;0,24
"242001";92;0,0890863311885397;0,04;0,73;0,23
"282501";92;0,0889598710776923;0,03;0,7;0,27
"333201";92;0,0889157588604355;0,01;0,67;0,32
"242101";92;0,0888739697173427;0,03;0,74;0,23
"353501";92;0,088650357736099;0;0,66;0,34
"272401";92;0,088605164410818;0,03;0,71;0,26
"252301";92;0,0885921393616176;0,02;0,74;0,24
"252201";92;0,0885692442825356;0,03;0,73;0,24
"302801";92;0,0885348399358739;0,02;0,69;0,29
"262301";92;0,0884770728570608;0,03;0,72;0,25
"262501";92;0,0884052495525582;0,01;0,74;0,25
"272701";92;0,088316243171984;0;0,74;0,26
"262401";92;0,0881413930165994;0,02;0,73;0,25
"323101";92;0,0881362846980181;0,01;0,68;0,31
"292701";92;0,0880922086276156;0,02;0,7;0,28
"272501";92;0,0879021053847066;0,02;0,72;0,26
"282601";92;0,0878832058004269;0,02;0,71;0,27
"272601";92;0,0878064850014855;0,01;0,73;0,26
"343401";92;0,0877669525877691;0;0,67;0,33
"313001";92;0,0876013080087737;0,01;0,69;0,3
