"";"time";"Dist";"Var1";"Var2";"Var3";"Var4"
"47021";92;0,0966778727522252;0,05;0,65;0,05;0,25
"19701";92;0,0966228063872841;0,1;0,7;0,1;0,1
"10881";92;0,0965940845673482;0,1;0,7;0,15;0,05
"19741";92;0,0963294462357066;0;0,8;0,1;0,1
"9601";92;0,0956535867393799;0,15;0,8;0;0,05
"18861";92;0,0950985070155067;0,1;0,8;0;0,1
"19301";92;0,094811953102027;0,05;0,8;0,05;0,1
"46621";92;0,0946487655553636;0;0,75;0;0,25
"781";92;0,0944615094156335;0,15;0,8;0,05;0
"28101";92;0,0941469053834279;0,1;0,75;0;0,15
"10921";92;0,0936870461850105;0;0,8;0,15;0,05
"10041";92;0,0933471924370628;0,1;0,8;0,05;0,05
"19281";92;0,0930406238886767;0,1;0,75;0,05;0,1
"37361";92;0,0929637537634184;0,05;0,75;0;0,2
"46601";92;0,092621651671648;0,05;0,7;0;0,25
"10481";92;0,0926146471897025;0,05;0,8;0,1;0,05
"37801";92;0,0922727059421019;0;0,75;0,05;0,2
"10461";92;0,0920943428254167;0,1;0,75;0,1;0,05
"1221";92;0,0917290654190085;0,1;0,8;0,1;0
"37781";92;0,0916340398294546;0,05;0,7;0,05;0,2
"1641";92;0,0913113395454264;0,1;0,75;0,15;0
"28541";92;0,0912292370330972;0,05;0,75;0,05;0,15
"2101";92;0,0911520506023863;0;0,8;0,2;0
"65101";92;0,0911086293747028;0;0,65;0;0,35
"28961";92;0,0908296945648584;0,05;0,7;0,1;0,15
"55861";92;0,0906593391643011;0;0,7;0;0,3
"1661";92;0,0905406800055118;0,05;0,8;0,15;0
"56281";92;0,0902830716553295;0;0,65;0,05;0,3
"20141";92;0,0902120273109623;0,05;0,7;0,15;0,1
"28981";92;0,0900317983674269;0;0,75;0,1;0,15
"3361";92;0,0897868714451026;0;0,65;0,35;0
"11321";92;0,0897830505841703;0,05;0,7;0,2;0,05
"47461";92;0,0896687826532078;0;0,65;0,1;0,25
"19721";92;0,0896490428923041;0,05;0,75;0,1;0,1
"2501";92;0,08954367581555;0,05;0,7;0,25;0
"12181";92;0,0893427976468725;0;0,65;0,3;0,05
"38641";92;0,0892676183564615;0;0,65;0,15;0,2
"21001";92;0,0891059753248124;0;0,65;0,25;0,1
"29821";92;0,0890802414478338;0;0,65;0,2;0,15
"47041";92;0,0889635229093511;0;0,7;0,05;0,25
"10901";92;0,088229749771083;0,05;0,75;0,15;0,05
"20161";92;0,0879346660914491;0;0,75;0,15;0,1
"38221";92;0,0874481445209276;0;0,7;0,1;0,2
"2081";92;0,0869777695286289;0,05;0,75;0,2;0
"29401";92;0,0861213317471786;0;0,7;0,15;0,15
"11341";92;0,0859905463694295;0;0,75;0,2;0,05
"20581";92;0,0849891755246993;0;0,7;0,2;0,1
"2521";92;0,0842075166638855;0;0,75;0,25;0
"11761";92;0,0840580327933373;0;0,7;0,25;0,05
"2941";92;0,0833320510227495;0;0,7;0,3;0
"103721";123;0,0525538347762454;0,05;0,2;0,2;0,55
"23061";123;0,0524416901007302;0,1;0,3;0,5;0,1
"58761";123;0,0521888591996131;0,1;0,25;0,35;0,3
"86101";123;0,0520737332199817;0;0,25;0,3;0,45
"68441";123;0,0520637224978221;0,05;0,2;0,4;0,35
"130621";123;0,0519257443428595;0;0,2;0,1;0,7
"76841";123;0,0519200497648177;0,05;0,25;0,3;0,4
"94901";123;0,051747955848225;0,05;0,2;0,25;0,5
"77261";123;0,0515096382181111;0,05;0,2;0,35;0,4
"4981";123;0,0514224634710266;0,15;0,3;0,55;0
"86081";123;0,0514002307773034;0,05;0,2;0,3;0,45
"33601";123;0,0513410385108182;0;0,2;0,65;0,15
"49941";123;0,0508064608586439;0,1;0,25;0,4;0,25
"23501";123;0,0506712138044743;0,05;0,3;0,55;0,1
"14241";123;0,0500722405778552;0,1;0,3;0,55;0,05
"41121";123;0,0497704063183931;0,1;0,25;0,45;0,2
"68021";123;0,04950088918892;0,05;0,25;0,35;0,35
"121801";123;0,0494341142326176;0;0,2;0,15;0,65
"5841";123;0,0492859382401942;0,1;0,25;0,65;0
"32301";123;0,0490959414829962;0,1;0,25;0,5;0,15
"42421";123;0,0490889125666227;0;0,2;0,6;0,2
"77281";123;0,0489091243825953;0;0,25;0,35;0,4
"14661";123;0,0488573383968852;0,1;0,25;0,6;0,05
"23481";123;0,0487914762441832;0,1;0,25;0,55;0,1
"59201";123;0,0473893494232015;0,05;0,25;0,4;0,3
"112981";123;0,0473691585431016;0;0,2;0,2;0,6
"51241";123;0,0471907390697103;0;0,2;0,55;0,25
"15121";123;0,0468787056814716;0;0,3;0,65;0,05
"68461";123;0,045994206089926;0;0,25;0,4;0,35
"104161";123;0,0457762747302442;0;0,2;0,25;0,55
"60061";123;0,0457007357887898;0;0,2;0,5;0,3
"50381";123;0,0456204908130201;0,05;0,25;0,45;0,25
"5861";123;0,0452924489545386;0,05;0,3;0,65;0
"95341";123;0,0446936026312738;0;0,2;0,3;0,5
"68881";123;0,0446702666036274;0;0,2;0,45;0,35
"41561";123;0,0442277069899389;0,05;0,25;0,5;0,2
"86521";123;0,0441464923679498;0;0,2;0,35;0,45
"77701";123;0,0441423990996264;0;0,2;0,4;0,4
"6301";123;0,0438144684992529;0;0,3;0,7;0
"59641";123;0,0433709308196703;0;0,25;0,45;0,3
"32741";123;0,0432395813687993;0,05;0,25;0,55;0,15
"6281";123;0,042849001423057;0,05;0,25;0,7;0
"23921";123;0,0426765319882252;0,05;0,25;0,6;0,1
"15101";123;0,0425474473912661;0,05;0,25;0,65;0,05
"50821";123;0,0410864885160361;0;0,25;0,5;0,25
"42001";123;0,0391910646689239;0;0,25;0,55;0,2
"33181";123;0,0377343594035922;0;0,25;0,6;0,15
"24361";123;0,0367586925450627;0;0,25;0,65;0,1
"6721";123;0,036351095061642;0;0,25;0,75;0
"15541";123;0,0362940721061378;0;0,25;0,7;0,05
"40281";396;0,19765489647789;0,1;0,35;0,35;0,2
"22661";396;0,197346461427297;0,05;0,4;0,45;0,1
"76421";396;0,197250997776963;0,05;0,3;0,25;0,4
"103321";396;0,197201339193232;0;0,3;0,15;0,55
"13401";396;0,197152078706559;0,1;0,4;0,45;0,05
"420011";396;0,196905514928422;0;0,25;0,55;0,2
"103741";396;0,196627864074895;0;0,25;0,2;0,55
"67621";396;0,196403241807512;0;0,35;0,3;0,35
"23101";396;0,196071031753058;0;0,4;0,5;0,1
"508211";396;0,195975518801306;0;0,25;0,5;0,25
"31461";396;0,195905859663941;0,1;0,35;0,4;0,15
"94921";396;0,195751444661463;0;0,25;0,25;0,5
"596411";396;0,19533155760129;0;0,25;0,45;0,3
"861011";396;0,195186778960301;0;0,25;0,3;0,45
"684611";396;0,194981342187027;0;0,25;0,4;0,35
"772811";396;0,194931387028184;0;0,25;0,35;0,4
"4581";396;0,194713600528731;0,1;0,4;0,5;0
"94501";396;0,194542775500149;0;0,3;0,2;0,5
"49541";396;0,194483860576195;0,05;0,35;0,35;0,25
"22641";396;0,194370241151555;0,1;0,35;0,45;0,1
"13841";396;0,194348456672337;0,05;0,4;0,5;0,05
"49961";396;0,193497370536245;0,05;0,3;0,4;0,25
"58801";396;0,193232696678457;0;0,35;0,35;0,3
"13821";396;0,193050248484218;0,1;0,35;0,5;0,05
"41141";396;0,192761787184755;0,05;0,3;0,45;0,2
"14281";396;0,192651422025871;0;0,4;0,55;0,05
"58611";396;0,192370649029639;0,05;0,3;0,65;0
"32321";396;0,192283519585729;0,05;0,3;0,5;0,15
"40721";396;0,192165311071452;0,05;0,35;0,4;0,2
"85681";396;0,192143909038225;0;0,3;0,25;0,45
"235011";396;0,192060875531572;0,05;0,3;0,55;0,1
"5001";396;0,191947473407642;0,1;0,35;0,55;0
"5021";396;0,191530003559005;0,05;0,4;0,55;0
"49981";396;0,190276271133321;0;0,35;0,4;0,25
"31901";396;0,190066748619796;0,05;0,35;0,45;0,15
"76861";396;0,190010323054055;0;0,3;0,3;0,4
"5461";396;0,189410984969281;0;0,4;0,6;0
"23081";396;0,188192389247274;0,05;0,35;0,5;0,1
"68041";396;0,188146820363841;0;0,3;0,35;0,35
"41161";396;0,187540685857213;0;0,35;0,45;0,2
"59221";396;0,186557278369528;0;0,3;0,4;0,3
"14261";396;0,186545869994379;0,05;0,35;0,55;0,05
"50401";396;0,185244587423862;0;0,3;0,45;0,25
"32341";396;0,185032312786676;0;0,35;0,5;0,15
"41581";396;0,184210555287671;0;0,3;0,5;0,2
"32761";396;0,183455838921459;0;0,3;0,55;0,15
"63011";396;0,182855996747072;0;0,3;0,7;0
"151211";396;0,182780922472828;0;0,3;0,65;0,05
"23521";396;0,182757095794314;0;0,35;0,55;0,1
"5881";396;0,178927105078318;0;0,35;0,65;0
"29141";426;0,0440979057253229;0,65;0,05;0,15;0,15
"47661";426;0,0436956996296555;0,55;0,05;0,15;0,25
"9281";426;0,0435377120721721;0,95;0;0;0,05
"41481";426;0,0429282190989446;0,25;0,05;0,5;0,2
"23841";426;0,0428726572426498;0,25;0,05;0,6;0,1
"32661";426;0,0424045155148031;0,25;0,05;0,55;0,15
"27801";426;0,0423635813785454;0,85;0;0;0,15
"18541";426;0,0417909731775275;0,9;0;0;0,1
"1801";426;0,0412925662329805;0,75;0,05;0,2;0
"57361";426;0,0409897527315535;0,45;0,05;0,2;0,3
"57801";426;0,039063118840147;0,4;0,05;0,25;0,3
"49861";426;0,0390563106548136;0,3;0,05;0,4;0,25
"5761";426;0,0389225613832802;0,3;0,05;0,65;0
"11061";426;0,0385146333025384;0,7;0,05;0,2;0,05
"48101";426;0,0378447301871839;0,5;0,05;0,2;0,25
"41041";426;0,0367074660288237;0,3;0,05;0,45;0,2
"20321";426;0,0365567789345914;0,65;0,05;0,2;0,1
"38841";426;0,0360633593887115;0,55;0,05;0,2;0,2
"23401";426;0,0355656134524822;0,3;0,05;0,55;0,1
"32221";426;0,0355290405656158;0,3;0,05;0,5;0,15
"49421";426;0,0351096132086084;0,35;0,05;0,35;0,25
"48541";426;0,0342303779849746;0,45;0,05;0,25;0,25
"48981";426;0,0333215946341197;0,4;0,05;0,3;0,25
"2241";426;0,0316085087466741;0,7;0,05;0,25;0
"40601";426;0,0315889167931073;0,35;0,05;0,4;0,2
"39281";426;0,0306776004233955;0,5;0,05;0,25;0,2
"31781";426;0,0293349305704214;0,35;0,05;0,45;0,15
"11501";426;0,0293006288351603;0,65;0,05;0,25;0,05
"14141";426;0,0292564368654707;0,35;0,05;0,55;0,05
"30021";426;0,0286332729230685;0,55;0,05;0,25;0,15
"22961";426;0,0285475829021146;0,35;0,05;0,5;0,1
"40161";426;0,028372148315188;0,4;0,05;0,35;0,2
"20761";426;0,0282100029036716;0,6;0,05;0,25;0,1
"39721";426;0,0279519230035959;0,45;0,05;0,3;0,2
"31341";426;0,0245535535822822;0,4;0,05;0,4;0,15
"30461";426;0,0238413358846852;0,5;0,05;0,3;0,15
"4881";426;0,0235564638934534;0,4;0,05;0,55;0
"2681";426;0,0223962031724651;0,65;0,05;0,3;0
"30901";426;0,0223847678098618;0,45;0,05;0,35;0,15
"22521";426;0,0223081040633944;0,4;0,05;0,45;0,1
"13701";426;0,0219871774286545;0,4;0,05;0,5;0,05
"21201";426;0,021405297609654;0,55;0,05;0,3;0,1
"22081";426;0,0179965644069418;0,45;0,05;0,4;0,1
"21641";426;0,0174952497169222;0,5;0,05;0,35;0,1
"4441";426;0,0159093004831149;0,45;0,05;0,5;0
"13261";426;0,0155948302126946;0,45;0,05;0,45;0,05
"12381";426;0,0143993541284316;0,55;0,05;0,35;0,05
"12821";426;0,0121178697162376;0,5;0,05;0,4;0,05
"4001";426;0,00916747385628345;0,5;0,05;0,45;0
"3561";426;0,00773797014652346;0,55;0,05;0,4;0
"38881";457;0,0220517014969741;0,45;0,15;0,2;0,2
"76781";457;0,0216724906606601;0,2;0,1;0,3;0,4
"20801";457;0,0213560766006345;0,5;0,15;0,25;0,1
"75461";457;0,0212968547690835;0,35;0,1;0,15;0,4
"3161";457;0,0210505388359779;0,5;0,15;0,35;0
"11981";457;0,0204376982453513;0,5;0,15;0,3;0,05
"5801";457;0,0202498907104644;0,2;0,15;0,65;0
"94861";457;0,02011968890369;0,15;0,1;0,25;0,5
"40201";457;0,0200501694471445;0,3;0,15;0,35;0,2
"31821";457;0,0199185665388787;0,25;0,15;0,45;0,15
"103681";457;0,0195847570603462;0,15;0,1;0,2;0,55
"120881";457;0,0194624054558965;0,2;0,1;0,05;0,65
"39321";457;0,0186294012421882;0,4;0,15;0,25;0,2
"76341";457;0,0182483968082362;0,25;0,1;0,25;0,4
"75901";457;0,0181044512516069;0,3;0,1;0,2;0,4
"30061";457;0,0179074582129027;0,45;0,15;0,25;0,15
"39761";457;0,0178109477436714;0,35;0,15;0,3;0,2
"84281";457;0,0174174833763568;0,35;0,1;0,1;0,45
"120441";457;0,0173766714194854;0,25;0,1;0;0,65
"101921";457;0,0172937957845461;0,35;0,1;0;0,55
"23001";457;0,0160352179872115;0,25;0,15;0,5;0,1
"85601";457;0,0159557717854515;0,2;0,1;0,25;0,45
"93101";457;0,0158282100964299;0,35;0,1;0,05;0,5
"21241";457;0,0149184349354366;0,45;0,15;0,3;0,1
"3601";457;0,0149058291278453;0,45;0,15;0,4;0
"31381";457;0,0146012635420749;0,3;0,15;0,4;0,15
"112061";457;0,0138855713981132;0,2;0,1;0,1;0,6
"12421";457;0,0137935607157996;0,45;0,15;0,35;0,05
"14181";457;0,0136967916673647;0,25;0,15;0,55;0,05
"5361";457;0,0136626428361792;0,25;0,15;0,6;0
"30501";457;0,0134371940400991;0,4;0,15;0,3;0,15
