"";"time";"Dist";"Var1";"Var2";"Var3"
"29401";0;0,0151985054068537;0,09;0,89;0,02
"70001";0;0,0151807423872367;0,07;0,87;0,06
"49701";0;0,0151420591319572;0,08;0,88;0,04
"141401";0;0,0150859739889188;0;0,87;0,13
"60101";0;0,0149542298312215;0,05;0,9;0,05
"29601";0;0,0148304445727045;0,07;0,91;0,02
"202001";0;0,0147664382031673;0;0,81;0,19
"110901";0;0,0143282128608065;0,02;0,88;0,1
"181701";0;0,0142361094718601;0,01;0,82;0,17
"19401";0;0,0141953744167671;0,08;0,91;0,01
"19301";0;0,0141715914451525;0,09;0,9;0,01
"9201";0;0,0141193703000185;0,09;0,91;0
"80401";0;0,0139295282963399;0,04;0,89;0,07
"49901";0;0,0138927995169467;0,06;0,9;0,04
"161401";0;0,0138243149100035;0,02;0,83;0,15
"39601";0;0,0138188967764767;0,08;0,89;0,03
"59901";0;0,0135517725943689;0,07;0,88;0,05
"141101";0;0,0135339738256411;0,03;0,84;0,13
"29501";0;0,0134902413747328;0,08;0,9;0,02
"39701";0;0,013388624317694;0,07;0,9;0,03
"80201";0;0,0133809896705845;0,06;0,87;0,07
"120801";0;0,0133654598442633;0,04;0,85;0,11
"100501";0;0,0133162600532268;0,05;0,86;0,09
"131201";0;0,0132278156893049;0,01;0,87;0,12
"70201";0;0,0129625433598297;0,05;0,89;0,06
"49801";0;0,012918023094933;0,07;0,89;0,04
"100701";0;0,0128979009541665;0,03;0,88;0,09
"60001";0;0,0126136606555497;0,06;0,89;0,05
"70101";0;0,0124161098612799;0,06;0,88;0,06
"151501";0;0,0121109673081353;0;0,86;0,14
"90501";0;0,0120466169688534;0,04;0,88;0,08
"90401";0;0,0119993801405874;0,05;0,87;0,08
"80301";0;0,0118822404494347;0,05;0,88;0,07
"121001";0;0,0118629305538696;0,02;0,87;0,11
"191901";0;0,01170215884768;0;0,82;0,18
"110701";0;0,0116835385976634;0,04;0,86;0,1
"171601";0;0,0114852728356843;0,01;0,83;0,16
"131001";0;0,0114840130963886;0,03;0,85;0,12
"151301";0;0,0114144775456955;0,02;0,84;0,14
"100601";0;0,011209111342888;0,04;0,87;0,09
"110801";0;0,0111545407223408;0,03;0,87;0,1
"141301";0;0,0108299267259813;0,01;0,86;0,13
"120901";0;0,0106123384456298;0,03;0,86;0,11
"131101";0;0,0102993979515667;0,02;0,86;0,12
"141201";0;0,0101132039302863;0,02;0,85;0,13
"161601";0;0,00980686372316817;0;0,85;0,15
"161501";0;0,00973528717382874;0,01;0,84;0,15
"181801";0;0,00950235873972155;0;0,83;0,17
"151401";0;0,00949909384830979;0,01;0,85;0,14
"171701";0;0,00877775289514612;0;0,84;0,16
"211801";92;0,0910461461061172;0,03;0,77;0,2
"201401";92;0,0910068522061428;0,06;0,75;0,19
"241901";92;0,0910047126915461;0,05;0,72;0,23
"312901";92;0,0908406805007339;0,02;0,68;0,3
"201501";92;0,0907342201301943;0,05;0,76;0,19
"333201";92;0,0906366109164638;0,01;0,67;0,32
"262201";92;0,0905928504395432;0,04;0,71;0,25
"231801";92;0,0905810554699727;0,05;0,73;0,22
"353501";92;0,0904743022188549;0;0,66;0,34
"211601";92;0,0904527285874165;0,05;0,75;0,2
"211701";92;0,0904334963780128;0,04;0,76;0,2
"221701";92;0,0903990977193626;0,05;0,74;0,21
"252501";92;0,0902896328610851;0;0,76;0,24
"221901";92;0,0902355532935835;0,03;0,76;0,21
"282501";92;0,090209512358254;0,03;0,7;0,27
"242301";92;0,0901608006786985;0,01;0,76;0,23
"232101";92;0,0901436606628111;0,02;0,76;0,22
"252101";92;0,0900761106083389;0,04;0,72;0,24
"221801";92;0,0899952468712886;0,04;0,75;0,21
"302801";92;0,0898572431789818;0,02;0,69;0,29
"242001";92;0,0898083356787611;0,04;0,73;0,23
"231901";92;0,0897838577129132;0,04;0,74;0,22
"232001";92;0,08963842173146;0,03;0,75;0,22
"272401";92;0,0895949091850485;0,03;0,71;0,26
"323101";92;0,0895387438101441;0,01;0,68;0,31
"242201";92;0,089386065521315;0,02;0,75;0,23
"242101";92;0,089266268164183;0,03;0,74;0,23
"343401";92;0,0892568756941273;0;0,67;0,33
"252401";92;0,0892417422975625;0,01;0,75;0,24
"262301";92;0,0892365842133532;0,03;0,72;0,25
"262601";92;0,0892087238076388;0;0,75;0,25
"292701";92;0,0891398253921484;0,02;0,7;0,28
"252201";92;0,0891293901088315;0,03;0,73;0,24
"252301";92;0,0888506496008668;0,02;0,74;0,24
"313001";92;0,0887133954239271;0,01;0,69;0,3
"282601";92;0,0886860164674143;0,02;0,71;0,27
"262401";92;0,0885489891497679;0,02;0,73;0,25
"262501";92;0,0885411286195917;0,01;0,74;0,25
"272501";92;0,0884912733823763;0,02;0,72;0,26
"272701";92;0,0883415867114518;0;0,74;0,26
"333301";92;0,0883183239791552;0;0,68;0,32
"302901";92;0,0881589692266516;0,01;0,7;0,29
"272601";92;0,0880717767231018;0,01;0,73;0,26
"292801";92;0,0878716159445209;0,01;0,71;0,28
"282701";92;0,0878452685982424;0,01;0,72;0,27
"282801";92;0,0877022146946465;0;0,73;0,27
"323201";92;0,087657951434574;0;0,69;0,31
"292901";92;0,0873035544410685;0;0,72;0,28
"313101";92;0,0872726972010634;0;0,7;0,3
"303001";92;0,0871571302758703;0;0,71;0,29
"575101";123;0,0981471298108476;0,06;0,38;0,56
"534701";123;0,097755167063631;0,06;0,42;0,52
"544701";123;0,0976281276245481;0,07;0,4;0,53
"534601";123;0,097622697273032;0,07;0,41;0,52
"646201";123;0,0973174382328034;0,02;0,35;0,63
"544901";123;0,0973087528732708;0,05;0,42;0,53
"555101";123;0,0969806715155104;0,04;0,42;0,54
"595901";123;0,096942860238843;0;0,42;0,58
"565001";123;0,0969413385372868;0,06;0,39;0,55
"565301";123;0,0967757291878573;0,03;0,42;0,55
"544801";123;0,0967714462449685;0,06;0,41;0,53
"585701";123;0,0967528963967384;0,01;0,42;0,57
"625901";123;0,0967035069691187;0,03;0,36;0,61
"575501";123;0,0966984256177127;0,02;0,42;0,56
"585301";123;0,0965406406548448;0,05;0,38;0,57
"554901";123;0,0964888914045547;0,06;0,4;0,54
"605601";123;0,0964527285408837;0,04;0,37;0,59
"555001";123;0,0960264256313706;0,05;0,41;0,54
"676701";123;0,0960142264252965;0;0,34;0,66
"575201";123;0,0956090445725909;0,05;0,39;0,56
"565101";123;0,0954461417162991;0,05;0,4;0,55
"565201";123;0,0953936028307317;0,04;0,41;0,55
"656401";123;0,0952011717458995;0,01;0,35;0,64
"595501";123;0,095011817980937;0,04;0,38;0,58
"575401";123;0,0948788288377088;0,03;0,41;0,56
"636101";123;0,0947801550222568;0,02;0,36;0,62
"615801";123;0,0947260699646583;0,03;0,37;0,6
"575301";123;0,0945065123368969;0,04;0,4;0,56
"585601";123;0,0944877668642791;0,02;0,41;0,57
"585401";123;0,0943681490322433;0,04;0,39;0,57
"595801";123;0,0942258185439043;0,01;0,41;0,58
"606001";123;0,0940980500937999;0;0,41;0,59
"585501";123;0,0936766858693679;0,03;0,4;0,57
"605701";123;0,0935678973479303;0,03;0,38;0,59
"595601";123;0,0932258222393647;0,03;0,39;0,58
"666601";123;0,0931425574764209;0;0,35;0,65
"626001";123;0,093076434175593;0,02;0,37;0,61
"595701";123;0,0929633234953057;0,02;0,4;0,58
"646301";123;0,0929246752113886;0,01;0,36;0,63
"605901";123;0,0923729864459064;0,01;0,4;0,59
"615901";123;0,0922164580619975;0,02;0,38;0,6
"605801";123;0,0921894020938892;0,02;0,39;0,59
"616101";123;0,0919120508654203;0;0,4;0,6
"636201";123;0,0915116355482971;0,01;0,37;0,62
"616001";123;0,0912663263457621;0,01;0,39;0,6
"656501";123;0,091144904412824;0;0,36;0,64
"626101";123;0,0909653804768917;0,01;0,38;0,61
"626201";123;0,0904640523943227;0;0,39;0,61
"646401";123;0,0900399279395478;0;0,37;0,63
"636301";123;0,0898227881932548;0;0,38;0,62
"737101";396;0,196939566491026;0,02;0,26;0,72
"635701";396;0,196852537833717;0,06;0,32;0,62
"6564011";396;0,19684139093618;0,01;0,35;0,64
"696501";396;0,196808699781493;0,04;0,28;0,68
"716801";396;0,196750083145058;0,03;0,27;0,7
"6666011";396;0,196582110280616;0;0,35;0,65
"635901";396;0,19648552794264;0,04;0,34;0,62
"635801";396;0,196248232258204;0,05;0,33;0,62
"666101";396;0,19616697568732;0,05;0,3;0,65
"646101";396;0,195850372598039;0,03;0,34;0,63
"645901";396;0,195757777248747;0,05;0,32;0,63
"656001";396;0,195725103293071;0,05;0,31;0,64
