"time";"lambda_T";"B"
93;1,86;6,44007224197596
110;2,2;5,82628098984166
183;3,66;9,45851201242311
206;4,12;1,13033278475917
238;4,76;3,41437726725787
265;5,3;1,01323219537785
353;7,06;5,16989659975263
489;9,78;9,57223084486997
499;9,98;1,91437221554343
5;0,1;1,25429511349585
41;0,82;0,213215232046704
54;1,08;0,65724711303368
188;3,76;24,152999672058
199;3,98;0,435406914279078
251;5,02;9,3053474801068
362;7,24;5,6259418553776
405;8,1;3,47635701304915
478;9,56;3,16363061679513
232;4,64;5,91002973416591
264;5,28;0,247049443319552
343;6,86;4,70009947224872
347;6,94;1,6969090481198
353;7,06;2,16215400208589
370;7,4;0,133226641070455
478;9,56;7,22399272929311
483;9,66;2,32901950485032
486;9,72;3,02985750382151
73;1,46;0,655028147183556
120;2,4;2,21499033799896
163;3,26;2,77647381377389
342;6,84;34,9253950256229
394;7,88;6,47526849787487
396;7,92;0,621856004471472
459;9,18;2,62818405793333
477;9,54;3,53304894524262
492;9,84;2,88616660378389
19;0,38;1,05102965504729
23;0,46;1,04370246501154
54;1,08;0,761132044313594
56;1,12;1,22399536429163
64;1,28;0,332873368427444
71;1,42;0,291739021131554
105;2,1;0,151374693650551
465;9,3;22,0834030769404
471;9,42;3,84808179326069
21;0,42;2,33531153604714
26;0,52;3,35916408976833
107;2,14;1,60173801807956
183;3,66;11,1349701169848
231;4,62;7,51038347968541
243;4,86;1,38784585283843
284;5,68;1,8393806618042
383;7,66;9,03941911594238
394;7,88;2,06279661281251
38;0,76;2,09134731850872
125;2,5;6,62247444923716
180;3,6;7,30144977420099
247;4,94;11,4722072171908
307;6,14;8,79954741220043
328;6,56;0,711056976835212
342;6,84;3,71815442899355
378;7,56;0,972079973239776
454;9,08;10,3178871168454
65;1,3;0,477818258983709
107;2,14;0,499224650593945
179;3,58;7,78539538845993
269;5,38;15,9499352900663
311;6,22;1,48652645782856
318;6,36;0,0887715553021806
392;7,84;8,37259478854405
433;8,66;3,73912484266454
473;9,46;5,641244268838
13;0,26;0,823321409563679
47;0,94;2,89005039657027
85;1,7;2,97362265996747
87;1,74;2,5071324544304
111;2,22;1,37256621569406
158;3,16;5,84047922267304
274;5,48;16,7962550283954
370;7,4;3,05600116252833
396;7,92;6,12703206817128
36;0,72;2,44380517295169
82;1,64;1,83040058112536
92;1,84;1,71429528140749
142;2,84;6,16879364230326
207;4,14;5
290;5,8;13,9464390919593
308;6,16;0,545347819331691
360;7,2;1,36792225606376
392;7,84;2,41797667336164
106;2,12;1,65820870838758
174;3,48;10,5910396415138
200;4;1,03799403702549
221;4,42;2,72128603165573
325;6,5;21,8005961599819
341;6,82;0,228965870276773
359;7,18;1,90133970943707
450;9;10,5823347264574
468;9,36;0,49433659215211
61;1,22;0,488697221473
71;1,42;0,229308914072623
90;1,8;0,247804247651543
256;5,12;0,920158972661803
272;5,44;0,723109063180657
341;6,82;2,16297374243979
345;6,9;3,34608080357009
425;8,5;12,6982393794885
477;9,54;4,92863706006636
169;3,38;22,0375320685064
181;3,62;3,45164770547837
271;5,42;14,4030380082318
300;6;8,98379193694136
309;6,18;3,11090795877983
333;6,66;1,33203985834731
382;7,64;2,94408970902374
387;7,74;1,90713687059028
422;8,44;5,26377503576194
267;5,34;9,42915025848436
271;5,42;0,229846711012621
353;7,06;1,37223177071458
377;7,54;0,696909014593397
385;7,7;1,25026740890171
414;8,28;5,01368725019312
429;8,58;1,01490053672716
477;9,54;4,7750251594366
494;9,88;1,73844121414105
46;0,92;2,00835564057298
163;3,26;17,7550200596361
167;3,34;0,888288921365279
262;5,24;11,4920191516086
296;5,92;10,052032921098
313;6,26;2,83045967378034
333;6,66;1,51753073457817
361;7,22;4,21772817131824
489;9,78;6,41094250438055
43;0,86;1,12811283809209
77;1,54;1,8006055674927
84;1,68;0,646428895289956
110;2,2;6,86349863335956
120;2,4;5,67097619734005
172;3,44;3,42260437283905
307;6,14;29,1940515166542
309;6,18;0,808974720034705
390;7,8;7,24981504696371
61;1,22;6,43929240943394
72;1,44;0,296771587661182
123;2,46;6,0139681065314
128;2,56;1,45310219080782
192;3,84;6,92769678809519
239;4,78;7,4563741955598
248;4,96;0,916722221423
362;7,24;6,63101132014183
478;9,56;5,51371431945272
81;1,62;1,46645211947634
106;2,12;3,77869586747252
125;2,5;6,36850207067002
190;3,8;8,97962461449594
294;5,88;34,4042971606783
309;6,18;1,80073608224033
355;7,1;3,05459157095912
359;7,18;0,0353886934854386
420;8,4;7,18950631408766
8;0,16;0,608027472022268
114;2,28;1,28028933415403
148;2,96;4,76103961033224
169;3,38;0,277270792724307
225;4,5;0,0718000287300791
260;5,2;1,75506166947469
356;7,12;1,99754330097963
396;7,92;2,38044456168405
447;8,94;3,77311209521699
131;2,62;3,41014141108181
136;2,72;1,50392154073933
299;5,98;26,5523507033036
302;6,04;1,66146108376151
343;6,86;1,93422148231243
344;6,88;2,96337503348634
404;8,08;4,51195151311631
422;8,44;1,97455523726094
486;9,72;7,27617306539111
106;2,12;2,60037589239046
111;2,22;1,91236978450385
123;2,46;1,91019877359173
201;4,02;7,33551606014073
258;5,16;9,70627487689177
276;5,52;2,23545118713838
348;6,96;1,7895794778075
364;7,28;0,929397738206383
428;8,56;5,55740821223769
28;0,56;3,45504283043152
79;1,58;4,99034412753968
84;1,68;0,16004623787708
107;2,14;0,392003758754828
123;2,46;5,73366245702385
232;4,64;0,922199647926827
259;5,18;8,3207660854154
323;6,46;3,22588283175283
349;6,98;2,54815079338368
23;0,46;0,999873890214573
167;3,34;24,0568261770317
232;4,64;3,13398936763554
264;5,28;0,247049443319552
285;5,7;4,01175141833301
325;6,5;1,30625449993438
359;7,18;2,92310511581214
384;7,68;2,937076365136
481;9,62;2,42705581447049
13;0,26;1,94080213184931
19;0,38;1,70925723412039
84;1,68;2,57978891124687
135;2,7;5
153;3,06;0,801968920644117
201;4,02;5,33842026295802
214;4,28;0,208330875049363
358;7,16;20,0223108042009
413;8,26;10
89;1,78;0,541023506928043
92;1,84;0,722128449216562
106;2,12;8,2974562763128
135;2,7;2,49577044256946
198;3,96;4,99999999999999
208;4,16;2,96985942792002
214;4,28;2,89306083426217
235;4,7;1,64402281995605
325;6,5;14,5495813744121
72;1,44;4,83795165982899
95;1,9;3,41944145189948
103;2,06;8,17815789904133
149;2,98;5,78270856381873
275;5,5;16,6384035022457
326;6,52;1,53745914894305
359;7,18;2,61218201503442
478;9,56;6,79421523316879
494;9,88;1,19912272015807
90;1,8;0,890245734513381
136;2,72;5,8027842925017
185;3,7;4,96004403934227
196;3,92;0,201696563357732
206;4,12;2,20347933871163
226;4,52;3,96929843432786
241;4,82;2,52458174763987
330;6,6;10,4261582864581
398;7,96;5,08808125725691
24;0,48;0,179302006987539
38;0,76;1,11652773965809
40;0,8;0,66230260259076
70;1,4;2,42438407017319
115;2,3;0,656401466532314
119;2,38;1,95499124302661
197;3,94;10,1758455229358
246;4,92;7,60841682448862
367;7,34;3,01112687305416
25;0,5;1,3489913345429
89;1,78;0,971466768204939
122;2,44;4,4852288332663
142;2,84;3,42534512292327
154;3,08;0,312431037896301
197;3,94;5,36083616332797
281;5,62;13,445380193652
443;8,86;33,5300345530978
484;9,68;5,2678321014247
167;3,34;23,8850814860502
194;3,88;2,24686311374455
213;4,26;1,48023214791433
278;5,56;7,56193173914693
330;6,6;0,371795829351814
352;7,04;4,3776500730426
387;7,74;5,18267653630849
393;7,86;0,231860454850061
403;8,06;4,99999999999999
157;3,14;12,951714262617
246;4,92;8,30942199804004
254;5,08;2,90157024097809
273;5,46;1,35794057553683
344;6,88;2,08240669794527
390;7,8;2,79991715554426
426;8,52;2,11149685249957
487;9,74;6,72110274521277
488;9,76;0,352510647351728
90;1,8;4,5539557916308
112;2,24;0,486152755102295
139;2,78;5
178;3,56;5,74421495256313
244;4,88;8,10035915449643
337;6,74;12,9634644614393
345;6,9;0,15876900600824
363;7,26;2,95911029750693
402;8,04;5,39288565483351
13;0,26;3,24704222173018
43;0,86;4,53042632653876
63;1,26;2,3722404659563
210;4,2;28,6752556365224
317;6,34;20,0366305782175
417;8,34;10,2394900085483
418;8,36;6,73543503645012
488;9,76;1,68209462301609
490;9,8;2,90773275116583
94;1,88;1,81632083481928
130;2,6;5
144;2,88;2,29734817074231
266;5,32;15,0918902922954
277;5,54;2,02721397123355
308;6,16;3,92530410004927
320;6,4;0,239370510442716
365;7,3;1,66750645137744
385;7,7;3,69275934107876
113;2,26;5
249;4,98;3,25568941582218
298;5,96;6,3641725714288
355;7,1;3,90881242736467
361;7,22;3,93159245285102
388;7,76;4,27003131034356
425;8,5;3,52006246755811
438;8,76;1,5986210262114
448;8,96;0,229909735559819
110;2,2;0,0669588489588771
115;2,3;2,32117483233984
148;2,96;4,14911376516294
