"time";"lambda_T";"B_Q1";"B_M";"B_Q3"
93;0,74;21,440072241976;26,440072241976;31,440072241976
110;0,34;9,58685950507917;14,1737190101583;15,4131404949208
183;1,46;5,27074399378844;9,45851201242311;15,5414879875769
206;0,46;16,3696672152408;23,8696672152408;28,8696672152408
238;0,64;6,70718863362894;13,4143772672579;15,9143772672579
265;0,54;10;13,9867678046221;16,9933839023111
353;1,76;9,83010340024737;10;14,8301034002474
489;2,72;5,21388457756501;9,57223084486997;10,213884577565
499;0,2;10,5856277844566;13,0856277844566;16,5428138922283
5;0,04;43,7457048865042;48,7457048865042;51,2457048865042
41;0,72;27,7132152320467;30,2132152320467;35,2132152320467
54;0,26;40,6572471130337;45,6572471130337;50,6572471130337
188;2,68;21,652999672058;24,152999672058;29,152999672058
199;0,22;19,5645930857209;24,5645930857209;29,5645930857209
251;1,04;9,3053474801068;14,3053474801068;24,3053474801068
362;2,22;5,3129709276888;9,3740581446224;10,3129709276888
405;0,86;29,0236429869509;41,5236429869509;49,0236429869509
478;1,46;15,6636306167951;23,1636306167951;25,6636306167951
232;2,44;5,45501486708295;9,08997026583409;10,455014867083
264;0,64;9,87647527834022;10,2470494433196;14,8764752783402
343;1,58;5,29990052775128;10,2999005277513;12,7999005277513
347;0,08;5,8484545240599;8,30309095188019;10,8484545240599
353;0,12;6,08107700104295;7,83784599791411;11,4189229989571
370;0,34;7,63322664107046;15,1332266410705;17,6332266410705
478;2,16;6,38800363535344;12,7760072707069;15,2760072707069
483;0,1;6,16450975242516;7,67098049514968;11,1645097524252
486;0,06;5,98507124808924;8,02985750382152;10,9850712480892
73;0,12;24,3449718528164;29,3449718528164;34,3449718528164
120;0,94;15;17,214990337999;20
163;0,86;12,2235261862261;17,2235261862261;24,7235261862261
342;3,58;32,4253950256229;34,9253950256229;39,9253950256229
394;1,04;8,52473150212513;13,5247315021251;21,0247315021251
396;0,04;43,1218560044715;45,6218560044715;53,1218560044715
459;1,26;14,8718159420667;22,3718159420667;24,8718159420667
477;0,36;11,0330489452426;13,5330489452426;18,5330489452426
492;0,3;6,05691669810805;7,88616660378389;10
19;0,36;36,0510296550473;41,0510296550473;46,0510296550473
23;0,08;46,4562975349885;48,9562975349885;53,9562975349885
54;0,62;34,2388679556864;39,2388679556864;44,2388679556864
56;0,04;43,7760046357084;48,7760046357084;51,2760046357084
64;0,16;32,1671266315726;34,6671266315726;44,6671266315726
71;0,14;24,7082609788684;29,7082609788684;34,7082609788684
105;0,68;14,9243126531747;19,8486253063494;19,9243126531747
465;7,2;17,0834030769404;17,0834030769404;22,0834030769404
471;0,12;8,84808179326069;13,8480817932607;18,8480817932607
21;0,22;42,6646884639529;47,6646884639529;52,6646884639529
26;0,1;49,1408359102317;51,6408359102317;56,6408359102317
107;1,62;15,8008690090398;16,6017380180796;21,6017380180796
183;1,52;5,56748505849238;8,86502988301524;13,8650298830152
231;0,96;10,0103834796854;17,5103834796854;20,0103834796854
243;0,24;6,38784585283843;11,3878458528384;12,5
284;0,82;13,1606193381958;15;19,0803096690979
383;1,98;9,03941911594238;10;14,0394191159424
394;0,22;32,9372033871875;37,9372033871875;45,4372033871875
38;0,32;37,9086526814913;42,9086526814913;45,4086526814913
125;1,74;18,3112372246186;21,6224744492372;23,3112372246186
180;1,1;7,69855022579901;12,698550225799;22,698550225799
247;1,34;13,9722072171908;21,4722072171908;23,9722072171908
307;1,2;8,10022629389978;11,2004525877996;13,1002262938998
328;0,42;19,2889430231648;24,2889430231648;26,7889430231648
342;0,28;8,71815442899355;13,7181544289935;16,2181544289936
378;0,72;5,48603998661989;9,02792002676022;12,0139600133801
454;1,52;9,68211288315464;14,6821128831546;19,6821128831546
65;0,22;29,5221817410163;34,5221817410163;42,0221817410163
107;0,84;15,249612325297;15,4992246505939;20,4992246505939
179;1,44;6,10730230577003;7,78539538845993;14,7146046115401
269;1,8;18,4499352900663;20,9499352900663;28,4499352900663
311;0,84;14,2567367710857;18,5134735421714;21,0134735421714
318;0,14;22,4112284446978;24,9112284446978;29,9112284446978
392;1,48;5,81370260572797;8,37259478854405;10,813702605728
433;0,82;31,2608751573355;36,2608751573355;41,2608751573355
473;0,8;18,141244268838;25,641244268838;28,141244268838
13;0,02;44,1766785904363;49,1766785904363;54,1766785904363
47;0,68;29,6099496034297;32,1099496034297;37,1099496034297
85;0,76;25,4736226599675;27,9736226599675;32,9736226599675
87;0,04;17,5071324544304;22,5071324544304;27,5071324544304
111;0,48;11,3725662156941;15;16,3725662156941
158;0,94;5,42023961133652;14,159520777327;19,159520777327
274;2,32;21,7962550283954;26,7962550283954;34,2962550283954
370;1,92;8,05600116252833;10;13,0560011625283
396;0,52;28,6270320681713;31,1270320681713;38,6270320681713
36;0,04;45,0561948270483;47,5561948270483;55,0561948270483
82;0,92;21,8304005811254;26,8304005811254;31,8304005811254
92;0,2;19,2142952814075;21,7142952814075;26,7142952814075
142;1;11,1687936423033;15;18,0843968211516
207;1,3;8,92727125483113;16,4272712548311;21,4272712548311
290;1,66;16,4464390919593;28,9464390919593;41,4464390919593
308;0,36;23,0453478193317;25,5453478193317;30,5453478193317
360;1,04;10,6839611280319;11,3679222560638;16,3679222560638
392;0,64;20,0820233266384;22,5820233266384;30,0820233266384
106;1,62;15,8291043541938;16,6582087083876;21,6582087083876
174;1,36;5,59103964151379;10;16,9089603584862
200;0,52;18,9620059629745;23,9620059629745;28,9620059629745
221;0,42;10,2212860316557;17,7212860316557;22,7212860316557
325;2,08;9,30059615998189;11,8005961599819;16,8005961599819
341;0,32;9,77103412972323;14,7710341297232;17,2710341297232
359;0,36;5,95066985471853;8,09866029056293;11,5493301452815
450;1,82;5,29116736322871;9,41766527354259;12,5
468;0,36;14,5056634078479;19,5056634078479;24,5056634078479
61;0,1;34,511302778527;39,511302778527;44,511302778527
71;0,2;24,7706910859274;29,7706910859274;34,7706910859274
90;0,38;20,2478042476515;25,2478042476515;30,2478042476515
256;3,32;5,4600794863309;9,0798410273382;16,5798410273382
272;0,32;19,2768909368193;20;24,2768909368193
341;1,38;7,83702625756021;12,8370262575602;15,3370262575602
345;0,08;5,82695959821495;8,34608080357009;11,673040401785
425;1,6;6,15088031025576;12,3017606205115;17,3017606205115
477;1,04;17,4286370600664;19,9286370600664;24,9286370600664
