"time";"lambda_T";"B"
93;1,86;26,440072241976
110;2,2;9,17371901015833
183;3,66;0,541487987576891
206;4,12;23,8696672152408
238;4,76;8,41437726725788
265;5,3;13,9867678046221
353;7,06;9,83010340024737
489;9,78;0,427769155130028
499;9,98;13,0856277844566
5;0,1;48,7457048865042
41;0,82;30,2132152320467
54;1,08;45,6572471130337
188;3,76;29,152999672058
199;3,98;24,5645930857209
251;5,02;9,3053474801068
362;7,24;5
405;8,1;31,5236429869509
478;9,56;13,1636306167951
232;4,64;0,910029734165904
264;5,28;9,75295055668045
343;6,86;10,2999005277513
347;6,94;6,69690904811981
353;7,06;5
370;7,4;10,1332266410705
478;9,56;2,77600727070689
483;9,66;2,32901950485032
486;9,72;1,97014249617848
73;1,46;29,3449718528164
120;2,4;17,214990337999
163;3,26;17,2235261862261
342;6,84;34,9253950256229
394;7,88;3,52473150212513
396;7,92;45,6218560044715
459;9,18;12,3718159420667
477;9,54;8,53304894524262
492;9,84;2,11383339621611
19;0,38;41,0510296550473
23;0,46;48,9562975349885
54;1,08;39,2388679556864
56;1,12;43,7760046357084
64;1,28;34,6671266315726
71;1,42;34,7082609788684
105;2,1;14,8486253063495
465;9,3;22,0834030769404
471;9,42;8,84808179326069
21;0,42;47,6646884639529
26;0,52;51,6408359102317
107;2,14;16,6017380180796
183;3,66;1,13497011698476
231;4,62;12,5103834796854
243;4,86;6,38784585283843
284;5,68;13,1606193381958
383;7,66;9,03941911594238
394;7,88;27,9372033871875
38;0,76;42,9086526814913
125;2,5;26,6224744492372
180;3,6;7,69855022579901
247;4,94;16,4722072171908
307;6,14;11,2004525877996
328;6,56;24,2889430231648
342;6,84;13,7181544289935
378;7,56;4,02792002676022
454;9,08;9,68211288315464
65;1,3;34,5221817410163
107;2,14;15,4992246505939
179;3,58;2,78539538845993
269;5,38;20,9499352900663
311;6,22;18,5134735421714
318;6,36;24,9112284446978
392;7,84;3,37259478854405
433;8,66;26,2608751573355
473;9,46;20,641244268838
13;0,26;49,1766785904363
47;0,94;32,1099496034297
85;1,7;27,9736226599675
87;1,74;22,5071324544304
111;2,22;16,3725662156941
158;3,16;9,15952077732695
274;5,48;21,7962550283954
370;7,4;8,05600116252833
396;7,92;31,1270320681713
36;0,72;47,5561948270483
82;1,64;26,8304005811254
92;1,84;21,7142952814075
142;2,84;10
207;4,14;16,4272712548311
290;5,8;33,9464390919593
308;6,16;30,5453478193317
360;7,2;11,3679222560638
392;7,84;17,5820233266384
106;2,12;16,6582087083876
174;3,48;0,591039641513788
200;4;23,9620059629745
221;4,42;7,72128603165573
325;6,5;11,8005961599819
341;6,82;14,7710341297232
359;7,18;5
450;9;0,582334726457415
468;9,36;14,5056634078479
61;1,22;34,511302778527
71;1,42;34,7706910859274
90;1,8;25,2478042476515
256;5,12;0,920158972661803
272;5,44;24,2768909368193
341;6,82;12,8370262575602
345;6,9;8,34608080357009
425;8,5;2,30176062051153
477;9,54;14,9286370600664
169;3,38;22,0375320685064
181;3,62;26,5483522945216
271;5,42;19,4030380082318
300;6;26,0162080630586
309;6,18;33,1109079587798
333;6,66;18,6679601416527
382;7,64;2,05591029097626
387;7,74;28,0928631294097
422;8,44;34,7362249642381
267;5,34;14,4291502584844
271;5,42;30,2298467110126
353;7,06;11,3722317707146
377;7,54;9,3030909854066
385;7,7;23,7497325910983
414;8,28;30,0136872501931
429;8,58;38,9850994632728
477;9,54;14,7750251594366
494;9,88;3,26155878585895
46;0,92;27,991644359427
163;3,26;22,7550200596361
167;3,34;35,8882889213653
262;5,24;11,4920191516086
296;5,92;24,947967078902
313;6,26;27,8304596737803
333;6,66;18,4824692654218
361;7,22;5
489;9,78;3,58905749561945
43;0,86;28,8718871619079
77;1,54;28,1993944325073
84;1,68;25,64642889529
110;2,2;13,1365013666404
120;2,4;5,67097619734005
172;3,44;16,5773956271609
307;6,14;24,1940515166542
309;6,18;34,1910252799653
390;7,8;7,24981504696371
61;1,22;23,5607075905661
72;1,44;34,7032284123388
123;2,46;16,0139681065314
128;2,56;8,54689780919218
192;3,84;8,07230321190481
239;4,78;12,4563741955598
248;4,96;9,083277778577
362;7,24;5
478;9,56;0,513714319452714
81;1,62;26,4664521194763
106;2,12;11,2213041325275
125;2,5;3,63149792932998
190;3,8;6,02037538550406
294;5,88;19,4042971606783
309;6,18;31,8007360822403
355;7,1;13,0545915709591
359;7,18;9,96461130651456
420;8,4;12,8104936859123
8;0,16;40,6080274720223
114;2,28;21,280289334154
148;2,96;10,2389603896678
169;3,38;30,2772707927243
225;4,5;10,0718000287301
260;5,2;8,2449383305253
356;7,12;8,00245669902037
396;7,92;22,619555438316
447;8,94;16,226887904783
131;2,62;11,5898585889182
136;2,72;18,4960784592607
299;5,98;21,5523507033036
302;6,04;36,6614610837615
343;6,86;16,9342214823124
344;6,88;7,96337503348634
404;8,08;15,4880484868837
422;8,44;43,0254447627391
486;9,72;17,2761730653911
106;2,12;17,3996241076095
111;2,22;6,91236978450385
123;2,46;13,0898012264083
201;4,02;7,66448393985928
258;5,16;4,70627487689177
276;5,52;22,7645488128616
348;6,96;8,2104205221925
364;7,28;9,07060226179362
428;8,56;14,4425917877623
28;0,56;41,5449571695685
79;1,58;25,0096558724603
84;1,68;25,1600462378771
107;2,14;10
123;2,46;10,7336624570239
232;4,64;4,07780035207317
259;5,18;6,6792339145846
323;6,46;16,7741171682472
349;6,98;12,5481507933837
23;0,46;39,0001261097854
167;3,34;29,0568261770317
232;4,64;13,1339893676355
264;5,28;9,75295055668045
285;5,7;25,988248581667
325;6,5;21,3062544999344
359;7,18;7,92310511581214
384;7,68;17,062923634864
481;9,62;12,5729441855295
13;0,26;43,0591978681507
19;0,38;48,2907427658796
84;1,68;22,4202110887531
135;2,7;14,3686054052302
153;3,06;20,8019689206441
201;4,02;19,661579737042
214;4,28;14,7916691249506
358;7,16;15,0223108042009
413;8,26;13,5877116599094
89;1,78;25,541023506928
92;1,84;19,2778715507834
106;2,12;10
135;2,7;2,49577044256946
198;3,96;12,6286684802716
208;4,16;17,03014057208
214;4,28;12,8930608342622
235;4,7;1,64402281995605
325;6,5;5
72;1,44;20,162048340171
95;1,9;23,4194414518995
103;2,06;10
149;2,98;10
275;5,5;16,6384035022457
326;6,52;18,462540851057
359;7,18;7,61218201503442
478;9,56;1,79421523316879
494;9,88;3,80087727984193
90;1,8;24,1097542654866
136;2,72;10,8027842925017
185;3,7;15,0399559606577
196;3,92;24,7983034366423
206;4,12;22,7965206612884
226;4,52;3,96929843432786
241;4,82;2,47541825236013
330;6,6;5,42615828645809
398;7,96;0,088081257256914
24;0,48;40,1793020069875
38;0,76;43,8834722603419
40;0,8;50,6623026025908
70;1,4;32,5756159298268
115;2,3;15,6564014665323
119;2,38;8,04500875697338
197;3,94;5
246;4,92;12,6084168244886
367;7,34;5
25;0,5;41,3489913345429
89;1,78;24,0285332317951
122;2,44;10
142;2,84;21,5746548770767
154;3,08;25,3124310378963
197;3,94;19,639163836672
281;5,62;8,44538019365196
443;8,86;28,5300345530978
484;9,68;15,2678321014247
167;3,34;28,8850814860502
194;3,88;27,7531368862554
213;4,26;16,4802321479143
278;5,56;7,56193173914693
330;6,6;14,6282041706482
352;7,04;9,3776500730426
387;7,74;9,81732346369151
393;7,86;34,7681395451499
403;8,06;43,9061479879159
157;3,14;7,95171426261697
246;4,92;18,30942199804
254;5,08;17,0984297590219
273;5,46;23,6420594244632
344;6,88;12,9175933020547
390;7,8;7,20008284445574
426;8,52;27,8885031475004
487;9,74;16,7211027452128
488;9,76;5,35251064735173
90;1,8;20,4460442083692
112;2,24;9,5138472448977
139;2,78;8,5750486116378
178;3,56;14,2557850474369
244;4,88;13,1003591544964
337;6,74;5
345;6,9;9,84123099399176
363;7,26;7,04088970249307
402;8,04;20,3928856548335
13;0,26;46,7529577782698
43;0,86;35,4695736734612
63;1,26;32,6277595340437
210;4,2;28,6752556365224
317;6,34;10,0366305782175
417;8,34;5,23949000854827
418;8,36;51,7354350364501
488;9,76;16,6820946230161
490;9,8;7,09226724883417
94;1,88;21,8163208348193
130;2,6;10
144;2,88;27,7026518292577
266;5,32;15,0918902922954
277;5,54;27,9727860287664
308;6,16;26,0746958999507
320;6,4;24,7606294895573
365;7,3;6,66750645137744
385;7,7;16,3072406589212
113;2,26;21,0032332076104
249;4,98;8,25568941582218
298;5,96;18,6358274285712
355;7,1;13,9088124273647
361;7,22;11,068407547149
388;7,76;15,7299686896564
425;8,5;26,4799375324419
438;8,76;33,4013789737886
448;8,96;24,7700902644402
110;2,2;20,0669588489589
115;2,3;12,6788251676602
148;2,96;10,8508862348371
165;3,3;23,6472249595388
223;4,46;10,3015494849578
416;8,32;8,46335167080641
428;8,56;39,3706827902317
457;9,14;23,7946927724401
481;9,62;12,483072302001
25;0,5;39,5370655047685
263;5,26;13,9211801268069
279;5,58;27,3338147270896
282;5,64;37,3629416135129
286;5,72;35,559233776187
409;8,18;20
418;8,36;48,6818897757278
429;8,58;40,2151726310087
431;8,62;38,1708406848213
21;0,42;42,2289410826217
67;1,34;26,4939257004918
96;1,92;24,1504042955397
227;4,54;11,8928612661328
335;6,7;11,4109233695694
380;7,6;1,81954704574666
394;7,88;26,101117357688
454;9,08;16,3477869448863
464;9,28;14,7854002914163
55;1,1;47,3504391389209
117;2,34;23,2568264396501
150;3;18,2503436092787
163;3,26;33,7598754963522
232;4,64;12,9855079688143
249;4,98;5,55247117863904
250;5;16,4689528949004
477;9,54;31,7874801958533
496;9,92;4,42317552820446
196;3,92;24,5911561236421
214;4,28;15,8579729046022
246;4,92;5,73840077860867
322;6,44;5,33737636775241
336;6,72;16,7626250018763
406;8,12;2,40258728079265
412;8,24;39,9500081566764
416;8,32;49,1487666625259
460;9,2;17,2879075675898
126;2,52;26,1265003763785
176;3,52;11,6819992512768
222;4,44;10,8487100269943
228;4,56;1,52389211065223
279;5,58;6,36452113067072
282;5,64;37,3629416135129
299;5,98;35,4535939005304
416;8,32;11,5399789839864
462;9,24;17,1251768460103
111;2,22;10,6624494063327
117;2,34;0,547067291074857
308;6,16;26,8086974367291
344;6,88;16,4769376966426
383;7,66;8,0084645522898
429;8,58;25,3984382745973
441;8,82;29,2549835403629
465;9,3;16,9295838863905
488;9,76;5,92770643195988
121;2,42;15
264;5,28;11,9757541813814
319;6,38;13,1992127235882
345;6,9;14,7734209510869
353;7,06;5
379;7,58;10,5129386982884
417;8,34;33,0429696233391
429;8,58;39,9210303866451
481;9,62;18,5377063008522
126;2,52;23,6019756921774
190;3,8;6,52959705484511
196;3,92;24,7459928489721
267;5,34;6,64975010807235
276;5,52;27,9991576514783
402;8,04;11,0624682116786
414;8,28;38,9411104071545
448;8,96;21,9686592670621
479;9,58;16,0630906745944
12;0,24;45,5356071600387
104;2,08;19,0574142718143
136;2,72;5
265;5,3;14,569435079785
296;5,92;26,5199393549133
311;6,22;27,5735611417647
446;8,92;24,6289415633365
457;9,14;23,0499121978826
483;9,66;11,5751379054206
93;1,86;26,6356195746163
110;2,2;9,17371901015833
129;2,58;1,18541989980382
260;5,2;9,97270028237648
342;6,84;8,9285092717956
422;8,44;9,19082406530929
429;8,58;41,29994766171
464;9,28;17,8448178641253
499;9,98;0,421164180631564
84;1,68;26,5347787857553
175;3,5;12,1882986324067
266;5,32;13,349731682048
408;8,16;15
409;8,18;69,5418973611541
420;8,4;39,4114211182084
451;9,02;23,2481775231273
478;9,56;10,6524631019224
489;9,78;0,948864268750335
120;2,4;20,9430988387377
140;2,8;19,1179668468311
141;2,82;31,9511965690161
182;3,64;16,5137790229553
290;5,8;44,252271531778
350;7;14,9637621525883
404;8,08;18,8565040105573
475;9,5;13,4954940585903
482;9,64;4,36336023839998
42;0,84;30,1120809852069
114;2,28;25,6547850588224
130;2,6;19,2270918610175
136;2,72;17,8774291951375
213;4,26;9,49931416181109
268;5,36;8,40907244419224
344;6,88;11,5181178234105
354;7,08;5
405;8,1;26,7556958485816
86;1,72;27,5132469889009
130;2,6;10
194;3,88;14,5323458346573
262;5,24;5,15694651569798
300;6;21,5643845115079
318;6,36;23,9465040459131
346;6,92;14,6419447347656
442;8,84;4,95300653383056
458;9,16;23,3255009898862
31;0,62;49,6827519150586
56;1,12;37,9149870926433
65;1,3;34,6982819836228
116;2,32;21,5851402242649
220;4,4;3,35915357354582
329;6,58;11,2248350994517
339;6,78;14,4162247147856
388;7,76;3,41064419309717
398;7,96;33,266747162464
52;1,04;34,4647874537797
123;2,46;21,1206499570093
210;4,2;5
227;4,54;2,10731227108163
236;4,72;5,1903414988983
417;8,34;11,0817611493581
428;8,56;39,6784703510731
485;9,7;17,2668481509347
496;9,92;8,91135186634981
143;2,86;24,0299626343011
217;4,34;11,7864115364718
245;4,9;0,138345190933079
251;5,02;14,6080261359949
303;6,06;11,8529608167506
341;6,82;17,3433130415749
364;7,28;5,69299558969668
367;7,34;19,644638811596
375;7,5;16,3236280899941
16;0,32;44,757547052873
31;0,62;46,4884111126382
35;0,7;45,8453911365633
233;4,66;27,7694357143075
278;5,56;8,7469566013454
315;6,3;22,998452725593
346;6,92;15,1422507556034
417;8,34;13,8127070095421
470;9,4;16,1862668719047
102;2,04;15,921989380237
154;3,08;5
155;3,1;32,0515991356466
338;6,76;37,3534179577017
356;7,12;5
362;7,24;12,1715119945037
399;7,98;18,0175939021683
434;8,68;29,6674575455545
441;8,82;29,7458567968019
134;2,68;18,5018699425806
166;3,32;21,7697415900834
218;4,36;16,3321264872137
224;4,48;0,232936082223283
237;4,74;4,18137943725898
287;5,74;11,1788577177967
310;6,2;25,0442612768075
311;6,22;29,6573043412638
453;9,06;22,2666638313872
95;1,9;25,5233583880457
104;2,08;11,3234592581415
184;3,68;2,40954256407075
300;6;18,6781967663633
301;6,02;36,676046588635
304;6,08;32,4982557688232
317;6,34;29,4093796596934
411;8,22;21,617645814418
494;9,88;14,559306167867
74;1,48;28,9305437094324
113;2,26;15,3498630720401
120;2,4;7,4522450867211
245;4,9;6,26231131030894
307;6,14;10,0990977951073
357;7,14;12,6060079786657
362;7,24;12,7209133449096
368;7,36;14,0650182602849
398;7,96;21,0897981684514
28;0,56;43,2657077065426
