"time";"lambda_T";"B_Q1";"B_M";"B_Q3"
93;0,74;11,440072241976;16,440072241976;18,940072241976
110;0,34;5,41314049492083;9,17371901015834;13,3262809898417
183;1,46;5,27074399378844;9,45851201242311;15,5414879875769
206;0,46;16,3696672152408;23,8696672152408;26,3696672152408
238;0,64;5,79281136637106;8,41437726725788;13,4143772672579
265;0,54;11,9933839023111;15;18,9867678046221
353;1,76;5,08494829987631;9,83010340024737;12,4150517001237
489;2,72;5,21388457756501;9,57223084486997;10
499;0,2;13,0856277844566;15;18,0856277844566
5;0,04;43,7457048865042;48,7457048865042;51,2457048865042
41;0,72;27,7132152320467;30,2132152320467;35,2132152320467
54;0,26;33,1572471130337;40,6572471130337;45,6572471130337
188;2,68;21,652999672058;24,152999672058;29,152999672058
199;0,22;22,0645930857209;29,5645930857209;32,0645930857209
251;1,04;5,3473262599466;9,3053474801068;14,3053474801068
362;2,22;5,3129709276888;9,3740581446224;10
405;0,86;24,0236429869509;36,5236429869509;49,0236429869509
478;1,46;15,6636306167951;18,1636306167951;23,1636306167951
232;2,44;5,45501486708295;9,08997026583409;10,455014867083
264;0,64;9,87647527834022;14,7529505566804;15
343;1,58;5,29990052775128;10,2999005277513;12,7999005277513
347;0,08;5,8484545240599;8,30309095188019;10,8484545240599
353;0,12;6,08107700104295;7,8378459979141;10
370;0,34;7,63322664107046;10,1332266410705;15,1332266410705
478;2,16;6,38800363535344;10;12,7760072707069
483;0,1;6,16450975242516;7,67098049514968;9,99999999999999
486;0,06;5,98507124808924;8,02985750382152;10,9850712480892
73;0,12;24,3449718528164;29,3449718528164;31,8449718528164
120;0,94;7,21499033799896;10;12,5
163;0,86;12,2235261862261;17,2235261862261;24,7235261862261
342;3,58;29,9253950256229;34,9253950256229;39,9253950256229
394;1,04;8,52473150212513;13,5247315021251;21,0247315021251
396;0,04;40,6218560044715;45,6218560044715;53,1218560044715
459;1,26;14,8718159420667;22,3718159420667;24,8718159420667
477;0,36;11,0330489452426;13,5330489452426;18,5330489452426
492;0,3;6,05691669810805;7,88616660378389;11,0569166981081
19;0,36;38,5510296550473;41,0510296550473;46,0510296550473
23;0,08;46,4562975349885;48,9562975349885;53,9562975349885
54;0,62;26,7388679556864;34,2388679556864;39,2388679556864
56;0,04;33,7760046357084;43,7760046357084;46,2760046357084
64;0,16;29,6671266315726;34,6671266315726;37,1671266315726
71;0,14;24,7082609788684;29,7082609788684;32,2082609788684
105;0,68;9,84862530634945;10;14,8486253063495
465;7,2;17,0834030769404;17,0834030769404;22,0834030769404
471;0,12;11,3480817932607;13,8480817932607;18,8480817932607
21;0,22;42,6646884639529;47,6646884639529;52,6646884639529
26;0,1;49,1408359102317;51,6408359102317;56,6408359102317
107;1,62;10;11,6017380180796;15,8008690090398
183;1,52;5,56748505849238;10;13,8650298830152
231;0,96;10,0103834796854;17,5103834796854;20,0103834796854
243;0,24;6,38784585283843;11,3878458528384;13,8878458528384
284;0,82;13,1606193381958;15;19,0803096690979
383;1,98;9,03941911594238;14,0394191159424;14,5197095579712
394;0,22;32,9372033871875;37,9372033871875;45,4372033871875
38;0,32;37,9086526814913;42,9086526814913;47,9086526814913
125;1,74;10,8112372246186;11,6224744492372;15,8112372246186
180;1,1;10,198550225799;17,698550225799;25,198550225799
247;1,34;8,97220721719078;16,4722072171908;18,9722072171908
307;1,2;8,10022629389978;11,2004525877996;13,1002262938998
328;0,42;19,2889430231648;24,2889430231648;26,7889430231648
342;0,28;8,71815442899355;13,7181544289935;18,7181544289936
378;0,72;5,48603998661989;9,02792002676022;12,0139600133801
454;1,52;9,68211288315464;14,6821128831546;19,6821128831546
65;0,22;29,5221817410163;34,5221817410163;37,0221817410163
107;0,84;10;10,4992246505939;15,249612325297
179;1,44;6,10730230577003;7,78539538845993;14,7146046115401
269;1,8;13,4499352900663;20,9499352900663;28,4499352900663
311;0,84;14,2567367710857;18,5134735421714;21,0134735421714
318;0,14;22,4112284446978;24,9112284446978;29,9112284446978
392;1,48;8,37259478854405;10;14,186297394272
433;0,82;23,7608751573355;31,2608751573355;36,2608751573355
473;0,8;18,141244268838;20,641244268838;25,641244268838
13;0,02;46,6766785904363;49,1766785904363;54,1766785904363
47;0,68;29,6099496034297;32,1099496034297;37,1099496034297
85;0,76;15,4736226599675;17,9736226599675;25,4736226599675
87;0,04;10;12,5071324544304;17,5071324544304
111;0,48;5,68628310784703;8,62743378430594;12,5
158;0,94;9,15952077732695;14,159520777327;21,659520777327
274;2,32;21,7962550283954;26,7962550283954;36,7962550283954
370;1,92;8,05600116252833;13,0560011625283;15,5560011625283
396;0,52;26,1270320681713;31,1270320681713;38,6270320681713
36;0,04;45,0561948270483;52,5561948270483;57,5561948270483
82;0,92;14,3304005811254;16,8304005811254;24,3304005811254
92;0,2;8,35714764070374;11,7142952814075;14,2142952814075
142;1;7,5;13,8312063576967;21,3312063576967
207;1,3;8,92727125483113;16,4272712548311;18,9272712548311
290;1,66;16,4464390919593;33,9464390919593;41,4464390919593
308;0,36;23,0453478193317;25,5453478193317;30,5453478193317
360;1,04;8,86792225606376;11,3679222560638;16,3679222560638
392;0,64;17,5820233266384;22,5820233266384;30,0820233266384
106;1,62;10;11,6582087083876;15,8291043541938
174;1,36;5,59103964151379;10;16,9089603584862
200;0,52;21,4620059629745;28,9620059629745;31,4620059629745
221;0,42;10,2212860316557;17,7212860316557;20,2212860316557
325;2,08;9,30059615998189;11,8005961599819;16,8005961599819
341;0,32;9,77103412972323;14,7710341297232;19,7710341297232
359;0,36;5,95066985471853;8,09866029056293;10
450;1,82;5,29116736322871;9,41766527354259;10
468;0,36;17,0056634078479;19,5056634078479;24,5056634078479
61;0,1;29,511302778527;34,511302778527;42,011302778527
71;0,2;24,7706910859274;29,7706910859274;32,2706910859274
90;0,38;10,2478042476515;15,2478042476515;17,7478042476515
256;3,32;5,4600794863309;10;12,5
272;0,32;19,2768909368193;24,2768909368193;24,2768909368193
341;1,38;7,83702625756021;12,8370262575602;17,8370262575602
345;0,08;5,82695959821495;8,34608080357009;11,673040401785
425;1,6;6,15088031025576;10;17,3017606205115
477;1,04;17,4286370600664;19,9286370600664;24,9286370600664
169;2,26;17,0375320685064;22,0375320685064;24,5375320685064
181;0,24;29,0483522945216;31,5483522945216;44,0483522945216
