"time";"lambda_T";"B"
93;1,86;16,440072241976
110;2,2;5,82628098984166
183;3,66;5,54148798757689
206;4,12;23,8696672152408
238;4,76;3,41437726725787
265;5,3;18,9867678046221
353;7,06;9,83010340024737
489;9,78;4,57223084486997
499;9,98;13,0856277844566
5;0,1;48,7457048865042
41;0,82;30,2132152320467
54;1,08;40,6572471130337
188;3,76;29,152999672058
199;3,98;19,5645930857209
251;5,02;4,30534748010681
362;7,24;4,3740581446224
405;8,1;11,5236429869509
478;9,56;13,1636306167951
232;4,64;5,91002973416591
264;5,28;14,7529505566804
343;6,86;10,2999005277513
347;6,94;6,69690904811981
353;7,06;2,16215400208589
370;7,4;10,1332266410705
478;9,56;2,77600727070689
483;9,66;2,67098049514968
486;9,72;6,97014249617849
73;1,46;29,3449718528164
120;2,4;7,21499033799896
163;3,26;17,2235261862261
342;6,84;29,9253950256229
394;7,88;3,52473150212513
396;7,92;40,6218560044715
459;9,18;17,3718159420667
477;9,54;8,53304894524262
492;9,84;7,11383339621612
19;0,38;41,0510296550473
23;0,46;48,9562975349885
54;1,08;34,2388679556864
56;1,12;38,7760046357084
64;1,28;34,6671266315726
71;1,42;29,7082609788684
105;2,1;9,84862530634945
465;9,3;22,0834030769404
471;9,42;8,84808179326069
21;0,42;47,6646884639529
26;0,52;51,6408359102317
107;2,14;11,6017380180796
183;3,66;5
231;4,62;7,51038347968541
243;4,86;11,3878458528384
284;5,68;13,1606193381958
383;7,66;14,0394191159424
394;7,88;27,9372033871875
38;0,76;42,9086526814913
125;2,5;16,6224744492372
180;3,6;12,698550225799
247;4,94;6,47220721719078
307;6,14;11,2004525877996
328;6,56;19,2889430231648
342;6,84;13,7181544289935
378;7,56;4,02792002676022
454;9,08;9,68211288315464
65;1,3;34,5221817410163
107;2,14;10,4992246505939
179;3,58;5
269;5,38;10,9499352900663
311;6,22;18,5134735421714
318;6,36;24,9112284446978
392;7,84;8,37259478854405
433;8,66;21,2608751573355
473;9,46;15,641244268838
13;0,26;49,1766785904363
47;0,94;32,1099496034297
85;1,7;22,9736226599675
87;1,74;17,5071324544304
111;2,22;5
158;3,16;14,159520777327
274;5,48;16,7962550283954
370;7,4;8,05600116252833
396;7,92;26,1270320681713
36;0,72;47,5561948270483
82;1,64;21,8304005811254
92;1,84;16,7142952814075
142;2,84;1,16879364230326
207;4,14;16,4272712548311
290;5,8;8,94643909195932
308;6,16;25,5453478193317
360;7,2;11,3679222560638
392;7,84;12,5820233266384
106;2,12;11,6582087083876
174;3,48;0,591039641513788
200;4;18,9620059629745
221;4,42;7,72128603165573
325;6,5;6,80059615998189
341;6,82;14,7710341297232
359;7,18;1,90133970943707
450;9;0,582334726457415
468;9,36;14,5056634078479
61;1,22;34,511302778527
71;1,42;29,7706910859274
90;1,8;20,2478042476515
256;5,12;5,9201589726618
272;5,44;24,2768909368193
341;6,82;12,8370262575602
345;6,9;8,34608080357009
425;8,5;2,69823937948847
477;9,54;14,9286370600664
169;3,38;22,0375320685064
181;3,62;31,5483522945216
271;5,42;19,4030380082318
300;6;21,0162080630586
309;6,18;28,1109079587798
333;6,66;18,6679601416527
382;7,64;2,94408970902374
387;7,74;28,0928631294097
422;8,44;24,7362249642381
267;5,34;14,4291502584844
271;5,42;30,2298467110126
353;7,06;11,3722317707146
377;7,54;9,3030909854066
385;7,7;23,7497325910983
414;8,28;25,0136872501931
429;8,58;33,9850994632728
477;9,54;14,7750251594366
494;9,88;3,26155878585895
46;0,92;27,991644359427
163;3,26;22,7550200596361
167;3,34;35,8882889213653
262;5,24;11,4920191516086
296;5,92;19,947967078902
313;6,26;27,8304596737803
333;6,66;18,4824692654218
361;7,22;4,21772817131824
489;9,78;1,41094250438055
43;0,86;28,8718871619079
77;1,54;23,1993944325073
84;1,68;20,64642889529
110;2,2;5
120;2,4;10,6709761973401
172;3,44;16,5773956271609
307;6,14;24,1940515166542
309;6,18;29,1910252799653
390;7,8;12,2498150469637
61;1,22;23,5607075905661
72;1,44;29,7032284123388
123;2,46;6,0139681065314
128;2,56;18,5468978091922
192;3,84;13,0723032119048
239;4,78;7,4563741955598
248;4,96;19,083277778577
362;7,24;3,36898867985817
478;9,56;0,513714319452714
81;1,62;21,4664521194763
106;2,12;6,22130413252748
125;2,5;6,36850207067002
190;3,8;11,0203753855041
294;5,88;39,4042971606783
309;6,18;26,8007360822403
355;7,1;13,0545915709591
359;7,18;4,96461130651456
420;8,4;7,81049368591234
8;0,16;45,6080274720223
114;2,28;11,280289334154
148;2,96;10,2389603896678
169;3,38;30,2772707927243
225;4,5;10,0718000287301
260;5,2;8,2449383305253
356;7,12;8,00245669902037
396;7,92;17,619555438316
447;8,94;16,226887904783
131;2,62;11,5898585889182
136;2,72;23,4960784592607
299;5,98;26,5523507033036
302;6,04;31,6614610837615
343;6,86;16,9342214823124
344;6,88;7,96337503348634
404;8,08;0,488048486883694
422;8,44;33,0254447627391
486;9,72;12,2761730653911
106;2,12;12,3996241076095
111;2,22;13,0876302154962
123;2,46;18,0898012264083
201;4,02;2,66448393985927
258;5,16;4,70627487689177
276;5,52;27,7645488128616
348;6,96;13,2104205221925
364;7,28;4,07060226179362
428;8,56;9,4425917877623
28;0,56;41,5449571695685
79;1,58;20,0096558724603
84;1,68;20,1600462378771
107;2,14;5
123;2,46;15,7336624570239
232;4,64;0,922199647926827
259;5,18;11,6792339145846
323;6,46;11,7741171682472
349;6,98;12,5481507933837
23;0,46;39,0001261097854
